title,units,description
ANTH 318 - Ethnography,4,Problems and techniques of describing culture and representing the “other.” Critical look at the process and politics of descriptions anthropologists craft.
ENST 395W - Environmental Studies Research and Analysis,4,"Introduction to academic research approaches appropriate to environmental studies; includes qualitative, quantitative, and examination of environmental knowledge."
GEOG 311W - Geographic Research and Writing,3,"Overview of discipline and profession. Use of library resources, research tools. Emphases: geographic methodologies, academic writing, presenting. Research paper and presentation on regional topic."
GEOG 310L - Geographic Research Laboratory,1,Introduction to geographic research techniques using software and internet resources.
HIST 210 - Historical Methods,4,Nature of history; historical consciousness; historians’ craft; use of primary/secondary sources. Recommended first course in the major. One of four units is individualized instruction on assigned essay. History majors must take HIST 210 before taking upper division major courses.
SOC 382 - Introduction to Social Research,4,"Theoretical principles, ethical issues, and common techniques for designing and implementing qualitative and quantitative social science research."
CANN 345 - Cannabis Regulatory and Environmental Requirements,3,"Examination of local, state and federal regulations relating to water, fish and wildlife, and land use necessary to obtain licensing. Focus on historical and contemporary policy, goals, implementation, and impacts."
"CRGS 360 - Race, Gender and US Law",4,"How are race, gender, and sexuality constructed and regulated in U.S. law? How have activists challenged such regulations? Discussion of slavery, miscegenation, eugenics, birth control, marriage, welfare, and affirmative action."
NAS 364 - Federal Indian Law I,4,Unique federal/tribal legal and historical relationship. Scope and authority of tribal governments as modified through contact with the federal government. Federal legislation and Supreme Court decisions regarding Indians and tribes.
NAS 365 - Federal Indian Law II,4,Continues NAS 364. Tribal jurisdiction in Indian country. Tribal/state conflicts over jurisdiction. Special topics.
PSCI 313 - Politics of Criminal Justice,4,Analysis of political forces driving criminal justice systems in US. Emphasis placed on criminal justice policy and policy implementation and the impact of criminal justice policy on society.
PSCI 317 - Public Policy Process,4,This course addresses the policy process and contemporary policy issues and at national and/or state level.
PSCI 352 - Water Politics,4,"Water-related political and legal issues. Emphasis on conflict and cooperation in the distribution and allocation of water resources. May focus on local, state, regional, national and/or international issues."
PSCI 360 - Political Economy,4,"Examination of the politics of economic actors, decision making, policies, and issues at local, national and/or international levels. Focus may vary with instructor."
PSCI 365 - Political Ecology,4,"Combines elements of human ecology and political economy to examine environmental degradation, conflict, and conservation. Examines social movements and community responses to environmental change.
Cross-listed with: GEOG 365"
PSCI 373 - Politics of Sustainability,4,"Examine diverse views of concepts such as democracy, liberty, justice, and nature as a response to political challenges of sustainability and unsustainability. Role of states, technology, markets, and culture."
SOC 320 - Environmental Sociology,4,"Examines the dynamics of the “natural environment” and society. Emphasis on exploring environmental crises, theoretical perspectives on nature, climate and sustainability."
SOC 363 - Environmental Crime,4,"Application of criminal justice to the surrounding natural environment from legal, ethical, and social perspectives."
SOC 370 - Environmental Inequality and Globalization,4,Examines environmental justice and environmental inequality on a global level and their implications for communities and nation states.
COMM 235 - Act to End Sexualized Violence,1,"Analyze how sexualized violence impacts communities and operates as social control; learn to recognize victim-blaming, promote survivor-centered responses, foreground enthusiastic consent, and take action to transform our campus community.
Cross-listed with: ANTH 235, CRGS 235, PSCI 235, SOC 235"
COMM 315 - Communication and Social Advocacy,4,"Study of communication strategies utilized to create and resist social change in the context of historical/contemporary social movements. Possible topics: civil rights, suffrage movement, environment, animal rights."
CRGS 313 - Community Activism,3,"Develop organizational and activist skills, understand how social change occurs, link theory to concrete organizing practice in the community. Course blends critical analysis of organizing theories/methods with hands-on projects.
Cross-listed with: EDUC 313"
ECON 470S - Sustainable Rural Economic Development,4,"Role of development practitioner. Analyze rural economic development theory and strategies required for sustained growth and job creation consistent with community values. Local speakers; cases; field trip; service-learning component.
Co-listed with: ECON 570S. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ESM 435 - Grant Proposal Writing,3,"Fundamentals of grant proposal writing, from conception of the idea to writing a coherent and persuasive proposal. Combines critical thinking, communication and quantitative reasoning skills, and critical evaluation of proposals."
FILM 362 - Documentary Production,4,"Fundamentals of ethical, non-fiction video production."
FILM 455 - Grant Writing,4,Fundamental practices of proposal development and grant writing; applicable to all professions. Hands-on activities as grantee and grantor. Emphasis on post-graduation grant writing. Includes working with a fiscal agent.
GSP 270 - Geographic Information Science (GIS),3,"Introductory course in Geographic Information Science and spatial analysis involving collection, manipulation, display, and analysis of geographically referenced data. Raster and Vector data, overlays, buffer, proximity analysis and SQL queries."
PSCI 412 - Legal Research,4,"Principles and research procedures in California/federal case law, statutory law, and codes. Computerized legal research; legal citation and writing."
SOC 350 - Social Movements,4,"This seminar introduces students to the study of U.S. and international social movements. Students study the causes, activities, successes, and failures of social movements, and their importance in the contemporary world."
SOC 475 - Community Organizing,4,"Explores community organizing history, theory and practice. Emphasizes development of conceptual framework/ practical skills for organizing effectively in the community for social, environmental and economic justice."
