title,units,description
FIRE 422 - Applied Fire Use and Policy,3,This is a course for students interested in prescribed fire management and restoration of fire-adapted ecosystems. The course provides students with learning opportunities designed to prepare them for application of prescribed fire. The students will get an introduction to developing a prescribed burn plan and the operational considerations for conducting prescribed burns.
FIRE 431 - Landscape Fire Modeling,3,"Modeling fuels, fire behavior, effects, and vegetation recovery at the landscape level. Developing maps of potential fire behavior and effects for various treatment action scenarios."
FIRE 482 - Applied Fire Internship,3,"Gain practical experience in the field of wildland fire management outside the classroom through working with governmental agencies, non-profit organizations, or private companies."
FOR 315 - Forest Management,3,"Managing forest-covered landscapes to meet a variety of objectives by applying economic, sociological, ecological, silvicultural, and operational principles."
FOR 359 - Forest and Rangeland Policy,3,US and California government and policies are introduced with an emphasis on the interactions between these institutions and natural resource management. Regulations are analyzed from creation to implementation and interpretation. Meets requirement in “US Constitution and California State and Local Government” established by CA legislature.
NAS 309 - Traditional Ecological Knowledge and Indigenous Natural Resource Management,3,"Emphasis on ethical engagement of Traditional Ecological Knowledge; best practices for Indigenous natural resource management and the critical importance of Indigenous sciences and knowledges to addressing and developing natural resource management plans and projects. Comparison of the cultural traditions and beliefs of indigenous people, with those of western science based management."
WSHD 310 - Hydrology and Watershed Management,4,"Hydrologic considerations of forest roads, stream crossings, road drainage. Management influences on hydrologic processes and aquatic habitat; protecting salmonid resources."
RRS 306 - Rangeland Management Principles,3,Analysis of rangeland biophysical communities; management for sustainable human and environmental values; use by wild and domestic animals; historical and legal changes in rangeland management.
FISH 300 - Introduction to Fishery Biology,3,"Identification, life histories, and ecology of important freshwater and marine fishes. Principles of fisheries management and its relationships with management of other resources."
FIRE 479W - Applied Fire Capstone,3,"Research a wildland fire problem, complete a project, write a report, and give a public presentation. Demonstrate breadth and depth of knowledge, ability to integrate knowledge, adaptability, and critical thinking."
NAS 492 - Native American Studies Capstone Experience,3,Capstone experience for NAS majors. Students to apply knowledge of NAS to practical problems. Course will entail either group or individual projects.
BIOL 105 - Principles of Biology,4,"Fundamental processes of life. Structure and function of cells, genetics, evolution, and ecology."
BOT 350 - Plant Taxonomy,4,"Identify ferns, gymnosperms, and flowering plants. Recognize families and key plants in the local flora."
BIOL 330 - Principles of Ecology,4,"Major ideas shaping modern ecology: population regulation, competition, predation, ecosystem energetics, mathematical models, and nutrient cycling. Role of biological and physical factors in developing community structure."
FOR 131 - Forest Ecology,3,"Ecological principles applied to forest management. Production ecology, biogeochemistry, disturbances, environmental factors, populations, community ecology, forest succession, and forest classification/description."
BOT 310 - General Plant Physiology,4,"Plant growth, development, reproduction, metabolism, photosynthesis, soil/water relations, inorganic nutrition, and translocation. Quantitative analysis of physiological functions."
BOT 322 - Developmental Plant Anatomy,4,"Plant structure and development, emphasis on seed plants; cells, tissues, and organs. Cell fate determination tissue patterning. Descriptive anatomy and molecular mechanisms. Applications of plant anatomy. Primary literature surveys, scientific communication.
Co-listed with: BOT 522. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
BOT 330 - Plant Ecology,2,"Principles governing structure and dynamics of plant populations and communities. Topics include community sampling, interspecific interactions, population viability analysis, and conservation issues."
BOT 330L - Plant Ecology Lab,1,Apply concepts and methods from BOT 330.
BOT 354 - Agrostology,4,"Taxonomy, identification, and relationships of grasses of North America."
BOT 355 - Lichens and Bryophytes,4,"Biology, ecology, natural history, and taxonomy of lichens, liverworts, hornworts, and mosses. Emphasis: epiphytic habitats. Weekend field trips."
BOT 394 - Forest Pathology,3,"Biology of diseases affecting trees in the forest and forest nursery. Emphases: fungi, mistletoes."
SOIL 460W - Wildland Soil Management and Erosion Control,3,"Characterization, mapping, assessment, interpretation, and management of wildland soils; nutrient cycling, fire effects, erosion control."
FOR 130 - Dendrology,3,"US trees/shrubs. Ranges, botanical characteristics, commercial and noncommercial uses, growth rates, and relation of plants to their total environment. Identify under field conditions and using herbarium specimens."
ESM 355 - Principles of Ecological Restoration,3,"Scientific basis for reconstruction of degraded ecosystems. Focus on practices designed to improve ecological structure and function, and meeting societal needs for sustainable and functional ecosystems."
FOR 431 - Forest Restoration,3,"Forest restoration at multiple spatial scales from stand to landscape level. Goals for biological conservation, carbon sequestration, economic viability. Restoration techniques and case studies. Managing invasive plant species."
FOR 222 - Forest Health and Protection,2,Biotic and abiotic disturbance agents. Identification and ecology of important forest insects and diseases of North America. Predisposing factors that increase susceptibility of forests. Management strategies to reduce impacts.
FOR 430 - Forest Ecosystems,3,"Environmental factors on tree, stand, and landscape dynamics. Investigation at physiological, population, community, ecosystem, and landscape scales. Analysis of ecological data, scientific writing, and presentation. Extensive field trips in region.
Cross-listed with: FOR 530. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
RRS 430 - Rangeland Restoration and Improvement,3,"Treatments, developments, and structures to improve rangeland ecosystems, services, and function. Ecological principles in ecosystem management and restoration."
WSHD 458 - Climate Change and Land Use,3,"Implications of climate change for terrestrial and aquatic resources. Overview of projected shifts in weather and climate. Influence of land use decisions on global carbon cycle in forests, agriculture and wetlands."
GSP 316 - Cartography,4,"Cartographic visualization and map design principles through GIS and illustration programs, the selection of appropriate map projections, data classification, color, visual variables, charts, graphs, and diagrams."
RRS 370 - Rangeland Ecology,3,"Interplay of ecological principles with species composition, distribution, disturbance responses, and management of grassland, woodland, and shrubland communities."
WLDF 431 - Ecology and Management of Upland Habitats for Wildlife,3,Theoretical and applied considerations for managing upland habitats to benefit wildlife species.
GSP 318 - Geospatial Programming I,3,"Introduction to programming for geospatial students. Covers problem decomposition, control structures, simple data structures, testing, and documentation, using the Python programming language and geospatial-oriented examples."
GSP 326 - Intermediate Remote Sensing,3,"Intermediate level course focusing on digital image processing involving image enhancements, image rectifications, classification, and accuracy assessments. Additional topics include image processing techniques involving thermal, hyperspectral, Radar, and LiDAR data."
GSP 330 - Mobile Mapping,3,"Concepts and techniques of data collection using mapping-grade GPS units. Topics include understanding data collection protocols, data processing, GIS integration, error sources, differential correction, and other advanced capabilities."
GSP 370 - Intermediate Geographic Information Science (GIS),3,"Data accuracy and quality, standard and advanced geospatial data models, data integration and analysis, constraint analysis, location-allocation analysis, metadata standards and documentation, geospatial ethics, industry applications of geospatial analysis."
NAS 332 - Environmental Justice,3,"Issues/concerns that led to Executive Order 12898 (environmental policies and conflicts between industries and those seeking environmental protection, including Alaska Native villages, “lower 48” tribes, grassroot community organizations)."
NAS 364 - Federal Indian Law I,4,Unique federal/tribal legal and historical relationship. Scope and authority of tribal governments as modified through contact with the federal government. Federal legislation and Supreme Court decisions regarding Indians and tribes.
NAS 365 - Federal Indian Law II,4,Continues NAS 364. Tribal jurisdiction in Indian country. Tribal/state conflicts over jurisdiction. Special topics.
NAS 366 - Tribal Water Rights,4,Federal/state water laws and Indian treaties; water problems on Western reservations as classic examples.
RRS 360 - Rangeland Plant Communities,3,"Delineation and synecology of important North American rangelands. Plant identification of important grasses, forbs, and shrubs."
RRS 375 - Rangeland Inventory and Health,3,Vegetation health monitoring and analysis procedures. Observe and evaluate vegetation organization and structure. Interpret distinct ecological sites. Field demonstration and analytical work.
SOIL 360 - Origin and Classification of Soils,3,"Factors of soil genesis; their interactions. Soil morphology/description; classification, emphasizing wildland soils."
RRS 475 - Advanced Study of Rangeland Plants,1,Identification and importance of range plants based on specialized morphological characteristics. Cal Poly Humboldt range-plant judging team selected from class.
MATH 101T - Trigonometry,3,"Trigonometric functions, their graphs, inverses and applications, radian measure, solving triangles, trigonometric identities and equations, laws of sines and cosines, polar coordinates, vectors."
WLDF 210 - Introduction to Wildlife Conservation and Administration,3,"History of relationship between wildlife and people, including laws and regulatory agencies. Different cultural perspectives."
WLDF 244 - Wildlife Policy and Animal Welfare,1,"Roles of policy, values, ethics, and animal welfare in research and the management of wildlife. Review relevant laws, with emphasis on Animal Welfare Act."
WLDF 301 - Principles of Wildlife Management,3,Plant / animal ecology; population dynamics; philosophy.
WLDF 311 - Wildlife Techniques,4,Management and research techniques.
WLDF 309 - Case Studies in Environmental Ethics,3,Human influence on distribution of world’s fauna. Ethical perspectives.
WLDF 365 - Ornithology I,3,"Classification, life histories, ecology, behavior, and special adaptations of birds. Identification in field and lab."
WLDF 423 - Wildlife Management (Nongame Wildlife),3,"Life histories, special management considerations. Specific taxonomic/ecological groups vary."
WLDF 460 - Conservation Biology,3,"Endangered species management, reserve design, conservation genetics, related concepts."
WLDF 478 - Ecology of Wildlife Populations,3,"Factors influencing growth, regulation, structure, and fluctuations of wildlife populations. Population growth, competition, and predator/prey models."
ZOOL 356 - Mammalogy,3,"Comparative mammalian biology. Systematics, morphology, behavior, reproduction, physiology, ecology, zoogeography."
