title,units,description
WSHD 310 - Hydrology and Watershed Management,4,"Hydrologic considerations of forest roads, stream crossings, road drainage. Management influences on hydrologic processes and aquatic habitat; protecting salmonid resources."
WSHD 424 - Watershed Hydrology,3,"Hillslope and fluvial hydrology. Water quality. Watershed management: analysis, planning, cumulative effects.
Co-listed with: WSHD 524. (Only one of the co-listed courses may be taken for credit. See Terminology for more information.)"
ECON 423 - Environmental and Natural Resources Economics,3,"Apply economic principles to public policies and management of natural resources (water, air, fisheries, forestry). Benefit/cost and economic impact analyses. Economics and business administration majors MUST co-enroll in ECON 423D."
FOR 315 - Forest Management,3,"Managing forest-covered landscapes to meet a variety of objectives by applying economic, sociological, ecological, silvicultural, and operational principles."
FOR 431 - Forest Restoration,3,"Forest restoration at multiple spatial scales from stand to landscape level. Goals for biological conservation, carbon sequestration, economic viability. Restoration techniques and case studies. Managing invasive plant species."
NAS 309 - Traditional Ecological Knowledge and Indigenous Natural Resource Management,3,"Emphasis on ethical engagement of Traditional Ecological Knowledge; best practices for Indigenous natural resource management and the critical importance of Indigenous sciences and knowledges to addressing and developing natural resource management plans and projects. Comparison of the cultural traditions and beliefs of indigenous people, with those of western science based management."
RRS 306 - Rangeland Management Principles,3,Analysis of rangeland biophysical communities; management for sustainable human and environmental values; use by wild and domestic animals; historical and legal changes in rangeland management.
RRS 430 - Rangeland Restoration and Improvement,3,"Treatments, developments, and structures to improve rangeland ecosystems, services, and function. Ecological principles in ecosystem management and restoration."
SOC 302 - Forests and Culture,3,"Explore relationships between human civilizations and nature/ forest in global and historical contexts. Themes include deforestation, ecological degradation, conservation, life-places, bioregionalism and ecological futures. Majors also take SOC 302M."
ESM 305 - Environmental Conflict Resolution,3,"Introduction to conflict theory as applied in complex natural resource disputes. Skill development in planning culturally appropriate and inclusive public participation processes, meeting facilitation, and conflict mediation. Comparison of options for nonviolent conflict management."
ESM 325 - Environmental Law and Regulation,3,"Overview of laws, policy, and institutions used to regulate natural resource management and protect the environment. Legal principles; property rights; federal, state, and international environmental legislation; and regulatory authorities."
ESM 360 - Introduction to Environmental Planning Methods,3,"Interdisciplinary planning methods. Application of ecological, economic, and social information and analysis for environmental planning from wildlands to working landscapes, rural and urban communities, at site and landscape scales. Must have sophomore standing or greater."
ESM 365 - Local Government Planning,3,"History of resource and land-use planning, planning theory, planning processes, and land development in the US. Overview of current land-use planning issues, processes, and techniques with emphasis at the local and regional levels."
ESM 425 - Environmental Impact Assessment,3,Legislative/judicial history and current implementation of National Environmental Policy Act (NEPA) and California Environmental Quality Act (CEQA). Practice analyzing and preparing impact assessments for development projects.
NAS 364 - Federal Indian Law I,4,Unique federal/tribal legal and historical relationship. Scope and authority of tribal governments as modified through contact with the federal government. Federal legislation and Supreme Court decisions regarding Indians and tribes.
NAS 365 - Federal Indian Law II,4,Continues NAS 364. Tribal jurisdiction in Indian country. Tribal/state conflicts over jurisdiction. Special topics.
NAS 366 - Tribal Water Rights,4,Federal/state water laws and Indian treaties; water problems on Western reservations as classic examples.
