,Anthropology Archaeology Concentration B.S.,Anthropology Biological Anthropology Concentration B.S.,Anthropology Cross-Disciplinary Anthropology Concentration B.S.,Anthropology Linguistic Anthropology Concentration B.S.,Anthropology Sociocultural Anthropology Concentration B.S.,Applied Fire Science And Management B.S.,Art Art Education Concentration B.A.,Art Art Studio Concentration B.A.,Art History And Museum Studies B.A.,Biochemistry B.S.,Biology Cellular Molecular Biology Concentration B.S.,Biology Ecology Concentration B.S.,Biology General Biology Concentration B.S.,Biology Microbiology Concentration B.S.,Biology Science Education Concentration B.S.,Botany B.S.,Business Administration Accounting Concentration B.S.,Business Administration Economics Concentration B.S.,Business Administration Finance Concentration B.S.,Business Administration Management And Entrepreneurship Concentration B.S.,Business Administration Marketing Concentration B.S.,Cannabis Studies Environmental Stewardship Concentration B.A.,Cannabis Studies Policy Stewardship Concentration B.A.,Chemistry B.A.,Chemistry B.S.,Child Development And Family Relationships Child And Family Services Concentration B.A.,Child Development And Family Relationships Specialized Studies Concentration B.A.,Child Development And Family Relationships Teaching Concentration B.A.,Communication B.A.,Computer Science B.S.,Criminology And Justice Studies B.A.,Critical Race Gender And Sexuality Studies B.A.,Dance B.A.,Data Science B.S.,Economics B.A.,Energy Systems Engineering B.S.,English B.A.,English English Education Concentration B.A.,Environmental Resources Engineering B.S.,Environmental Science And Management Ecological Restoration Concentration B.S.,Environmental Science And Management Energy And Climate Concentration B.S.,Environmental Science And Management Environmental Education And Interpretation Concentration B.S.,Environmental Science And Management Environmental Planning And Policy B.S.,Environmental Science And Management Geospatial Science Concentration B.S.,Environmental Studies B.A.,Film B.A.,Fine Art B.F.A.,Fisheries Biology Aquaculture Concentration B.S.,Fisheries Biology Freshwater Fisheries Concentration B.S.,Fisheries Biology Marine Fisheries Concentration B.S.,Forestry Fire Management Concentration B.S.,Forestry Forest Hydrology Concentration B.S.,Forestry Forest Operations Concentration B.S.,Forestry Forest Restoration Concentration B.S.,Forestry Forest Soils Concentration B.S.,Forestry Tribal Forestry Concentration B.S.,French And Francophone Studies B.A.,Geography B.A.,Geology B.S.,Geology Geosciences Concentration B.A.,Geospatial Science And Technology Environmental Science And Management Concentration B.S.,Geospatial Science And Technology Social Science Concentration B.S.,History B.A.,History Education Concentration B.A.,Interdisciplinary Studies Individualized Degree Plan Concentration B.A.,International Studies Chinese Studies Concentration B.A.,International Studies Development Studies Concentration B.A.,International Studies European Studies Concentration B.A.,International Studies Global Cultural Studies Concentration B.A.,International Studies Latin American Studies Concentration B.A.,Journalism Media Studies Concentration B.A.,Journalism News Concentration B.A.,Journalism Public Relations Concentration B.A.,Kinesiology Exercise Science Concentration B.S.,Kinesiology Health Promotion Concentration B.S.,Kinesiology Physical Education Teaching Concentration B.S.,Kinesiology Pre-Health Professions Concentration B.S.,Leadership Studies B.A.,Liberal Studies Child Development Special Education Itep Concentration B.A.,Liberal Studies Child Development   Elementary Education Concentration B.A.,Liberal Studies Elementary Education Concentration B.A.,Liberal Studies Elementary Education Itep Concentration B.A.,Marine Biology B.S.,Mathematics B.A.,Mechanical Engineering B.S.,Music Applied Music Concentration B.A.,Music Music Education Pre-Credential Concentration B.A.,Music Music Studies Concentration B.A.,Native American Studies B.A.,Nursing Rn To Bsn Concentration B.S.,Oceanography B.S.,Philosophy B.A.,Physical Science B.A.,Physics Astronomy Concentration B.S.,Physics B.S.,Political Science B.A.,Political Science Global Politics Concentration B.A.,Political Science Law And Policy Concentration B.A.,Political Science Politics Of Environment And Sustainability Concentration B.A.,Psychology B.A.,Rangeland Resource Science B.S.,Rangeland Resource Science Wildland Soil Science Concentration B.S.,Recreation Administration B.A.,Religious Studies B.A.,Social Work B.A.,Sociology B.A.,Software Engineering B.S.,Spanish B.A.,Theatre Arts B.A.,Wildlife Wildlife Ecology Conservation And Management Concentration B.S.,Zoology B.S.
Chemistry B.A.,0.09308692676249145,0.13058907026259758,0.08128704487722269,0.07317073170731707,0.07475409836065573,0.10689869484151647,0.0935374149659864,0.0951599671862182,0.08409090909090909,0.6418181818181818,0.522439585730725,0.2670744138634047,0.42105263157894735,0.40635641316685583,0.3297709923664122,0.26037735849056604,0.1003584229390681,0.08739076154806492,0.09824561403508772,0.07673267326732673,0.085,0.12641509433962264,0.10418310970797158,1.0,0.8517985611510791,0.05106382978723404,0.04341534008683068,0.08366533864541832,0.07464607464607464,0.13383838383838384,0.09567617295308188,0.04675716440422323,0.07713004484304933,0.15090090090090091,0.14392396469789545,0.23838737949167396,0.059870550161812294,0.04052098408104197,0.23497267759562843,0.11518987341772152,0.18618618618618618,0.12148997134670488,0.11455847255369929,0.11921458625525946,0.1031703385276733,0.06451612903225806,0.0912863070539419,0.1951219512195122,0.19066147859922178,0.19066937119675456,0.11943127962085308,0.14915966386554622,0.11401869158878504,0.10172272354388844,0.11550151975683891,0.10634328358208955,0.030418250950570342,0.08761904761904762,0.25752508361204013,0.14502923976608187,0.1307471264367816,0.12537764350453173,0.0584045584045584,0.054376657824933686,0.030303030303030304,0.0730816077953715,0.0737913486005089,0.0641025641025641,0.06735266604303088,0.07407407407407407,0.04933196300102775,0.04905660377358491,0.04633204633204633,0.17073170731707318,0.16091954022988506,0.15542857142857142,0.266046511627907,0.06070826306913996,0.09846650524616626,0.09066183136899365,0.10414827890556046,0.10082644628099173,0.2540919719407638,0.21238938053097345,0.22641509433962265,0.07179487179487179,0.05912596401028278,0.060240963855421686,0.0472972972972973,0.04964539007092199,0.43977591036414565,0.05105105105105105,0.36904761904761907,0.382089552238806,0.3975346687211094,0.09680741503604531,0.09680741503604531,0.09687184661957618,0.09680741503604531,0.08775510204081632,0.13369467028003612,0.1281809613572102,0.08294930875576037,0.0196078431372549,0.06537530266343826,0.09552845528455285,0.15334773218142547,0.05,0.09523809523809523,0.18212765957446808,0.2801175318315377
Chemistry B.S.,0.08764367816091954,0.1208955223880597,0.08093525179856115,0.07118871725990597,0.07142857142857142,0.1,0.0957542908762421,0.09565217391304348,0.08631319358816276,0.550921435499515,0.4075,0.22587719298245615,0.38205499276411,0.3793103448275862,0.27986348122866894,0.2199798183652876,0.09895833333333333,0.08743169398907104,0.09923664122137404,0.07577807848443843,0.08481532147742818,0.12916246215943492,0.09515859766277128,0.8517985611510791,1.0,0.05345911949685535,0.04823151125401929,0.0877005347593583,0.07627118644067797,0.11618257261410789,0.09430255402750491,0.04295942720763723,0.0745697896749522,0.14896214896214896,0.1396011396011396,0.23880597014925373,0.05826906598114824,0.04180064308681672,0.22939068100358423,0.11250827266710788,0.14193548387096774,0.11694510739856802,0.11200995644057249,0.11348563006632277,0.09375,0.06529209621993128,0.09154929577464789,0.1726775956284153,0.16684045881126172,0.16793893129770993,0.10953346855983773,0.11778029445073612,0.10589410589410589,0.09565217391304348,0.10675381263616558,0.09571286141575275,0.030555555555555555,0.08766564729867482,0.2377994676131322,0.13231552162849872,0.12396069538926682,0.11633466135458168,0.058426966292134834,0.05281445448227936,0.04071246819338423,0.07712765957446809,0.07531380753138076,0.06451612903225806,0.068,0.07785888077858881,0.048672566371681415,0.04843592330978809,0.045501551189245086,0.17767106842737096,0.16441441441441443,0.15632754342431762,0.2286282306163022,0.06870229007633588,0.09743589743589744,0.08897485493230174,0.09962406015037593,0.1016652059596845,0.22405271828665568,0.2134646962233169,0.22607110300820418,0.06635802469135803,0.05514458641560188,0.0585544373284538,0.04395604395604396,0.05656565656565657,0.3627906976744186,0.04020100502512563,0.4091954022988506,0.39600665557404324,0.4068965517241379,0.0975609756097561,0.0975609756097561,0.09544468546637744,0.0975609756097561,0.09001097694840834,0.12138728323699421,0.11693548387096774,0.0851063829787234,0.018604651162790697,0.06605019815059446,0.08961748633879782,0.14935822637106183,0.05237315875613748,0.09612403100775194,0.16817359855334538,0.24579831932773108
Child Development And Family Relationships Child And Family Services Concentration B.A.,0.16690442225392296,0.16592592592592592,0.18181818181818182,0.1601067378252168,0.1664392905866303,0.1367741935483871,0.18442256042972247,0.15689655172413794,0.12667478684531058,0.09606147934678194,0.0962962962962963,0.0911062906724512,0.10271041369472182,0.0948905109489051,0.09731543624161074,0.1038961038961039,0.08740359897172237,0.07816711590296496,0.0728643216080402,0.0801068090787717,0.09716599190283401,0.16383616383616384,0.16225165562913907,0.05106382978723404,0.05345911949685535,1.0,0.930379746835443,0.6835978835978836,0.16991643454038996,0.054570259208731244,0.18482490272373542,0.15785319652722968,0.1856060606060606,0.09650180940892641,0.11315417256011315,0.10351201478743069,0.14613423959218352,0.11075949367088607,0.07686832740213523,0.126232741617357,0.13829787234042554,0.15776986951364175,0.1311069882498454,0.12435991221653256,0.1365149833518313,0.08783783783783784,0.15357766143106458,0.09513513513513513,0.09287925696594428,0.09492988133764833,0.11847389558232932,0.1187010078387458,0.12067260138476756,0.12241379310344827,0.11637931034482758,0.1441263573543929,0.09315068493150686,0.11503531786074672,0.08970976253298153,0.10301507537688442,0.14103525881470366,0.14703557312252966,0.12788104089219332,0.13526570048309178,0.06947890818858561,0.17060367454068243,0.19807427785419532,0.16844143272023232,0.14455445544554454,0.16346153846153846,0.12035010940919037,0.11388611388611389,0.1187308085977482,0.1494661921708185,0.155902004454343,0.14460784313725492,0.18503937007874016,0.09363295880149813,0.34067796610169493,0.3544061302681992,0.22346368715083798,0.21894005212858383,0.10294117647058823,0.05815831987075929,0.06684733514001806,0.08116385911179173,0.06947227788911156,0.0743427017225748,0.17852834740651388,0.13465346534653466,0.0732824427480916,0.10873146622734761,0.02247191011235955,0.058919803600654665,0.06779661016949153,0.19517543859649122,0.19517543859649122,0.19527896995708155,0.19517543859649122,0.20846905537459284,0.11450381679389313,0.1157684630738523,0.17799752781211373,0.1099236641221374,0.20860495436766624,0.18162162162162163,0.06689734717416378,0.10628019323671498,0.13435114503816795,0.14695340501792115,0.1101871101871102
Child Development And Family Relationships Specialized Studies Concentration B.A.,0.15706051873198848,0.15718562874251496,0.17148014440433212,0.1494949494949495,0.15564738292011018,0.12369791666666667,0.18313689936536717,0.15532286212914484,0.11895910780669144,0.08568646543330087,0.09296482412060302,0.08370044052863436,0.09315866084425037,0.09405940594059406,0.09278350515463918,0.0911854103343465,0.09424083769633508,0.08241758241758242,0.08184143222506395,0.08707482993197278,0.09903713892709766,0.1580547112462006,0.1507537688442211,0.04341534008683068,0.04823151125401929,0.930379746835443,1.0,0.6530612244897959,0.1590909090909091,0.04728789986091794,0.16962524654832348,0.14684756584197925,0.18234165067178504,0.09325153374233129,0.10428571428571429,0.09550561797752809,0.13757523645743766,0.11650485436893204,0.0704529115744069,0.126078301260783,0.13822894168466524,0.14952153110047847,0.12850904553961323,0.12121212121212122,0.12639821029082773,0.08650519031141868,0.1519434628975265,0.08342480790340286,0.08167539267015707,0.0832420591456736,0.109979633401222,0.11604095563139932,0.1123370110330993,0.11518324607329843,0.1137855579868709,0.14014014014014015,0.09217877094972067,0.10849539406345957,0.08726625111308994,0.09718670076726342,0.13949962092494314,0.14068745003996802,0.12021036814425244,0.1240418118466899,0.07712082262210797,0.16310160427807488,0.17391304347826086,0.155053974484789,0.13052208835341367,0.1491442542787286,0.11777777777777777,0.11144883485309018,0.11630321910695743,0.14957780458383596,0.1515837104072398,0.14463840399002495,0.17764471057884232,0.09230769230769231,0.3344768439108062,0.36310679611650487,0.22264150943396227,0.21459982409850484,0.1024793388429752,0.05619834710743802,0.06221408966148216,0.07120743034055728,0.060687795010114634,0.0642791551882461,0.17177914110429449,0.13034623217922606,0.0686427457098284,0.09443507588532883,0.018561484918793503,0.05025125628140704,0.0625,0.17817371937639198,0.17817371937639198,0.1786492374727669,0.17817371937639198,0.20066152149944874,0.10638297872340426,0.10931174089068826,0.17861635220125785,0.1060842433697348,0.21779548472775564,0.1734357848518112,0.06330597889800703,0.09555189456342669,0.1372854914196568,0.13611615245009073,0.09915611814345991
Child Development And Family Relationships Teaching Concentration B.A.,0.22457378012933568,0.22922983626440266,0.22941590429275158,0.21690767519466073,0.2311614730878187,0.1903731746890211,0.2288135593220339,0.1973954763536669,0.1375,0.13582089552238805,0.11361587015329125,0.13104013104013104,0.122,0.12488849241748438,0.10949720670391061,0.14153846153846153,0.1374187558031569,0.12295869356388088,0.12602739726027398,0.13549618320610687,0.1423076923076923,0.20307692307692307,0.22030524220305242,0.08366533864541832,0.0877005347593583,0.6835978835978836,0.6530612244897959,1.0,0.18092428711897737,0.10465116279069768,0.22758100979653353,0.18007662835249041,0.2051660516605166,0.14716312056737588,0.1646234676007005,0.15930485155684287,0.1842818428184282,0.13748657357679914,0.13380281690140844,0.2,0.2033898305084746,0.2256926952141058,0.20146137787056367,0.2028811524609844,0.20752022846263685,0.10774410774410774,0.19238754325259516,0.13725490196078433,0.14037854889589904,0.13539967373572595,0.17297297297297298,0.15604026845637584,0.1633587786259542,0.17272104180945852,0.15647921760391198,0.18445121951219512,0.08940719144800778,0.15658914728682172,0.14345403899721448,0.136986301369863,0.21323529411764705,0.20588235294117646,0.15571776155717762,0.17276887871853547,0.05128205128205128,0.1696512723845429,0.1871345029239766,0.17267267267267267,0.16042780748663102,0.16268788682581786,0.14509480626545754,0.14307692307692307,0.15047021943573669,0.20140105078809106,0.2172096908939014,0.23497757847533632,0.23878326996197718,0.1056422569027611,0.47058823529411764,0.47952345495160087,0.3190094683175528,0.31448275862068964,0.15364412344057782,0.11328976034858387,0.1251778093883357,0.11838006230529595,0.10133630289532294,0.0898716119828816,0.19326241134751773,0.16169154228855723,0.1090146750524109,0.10596026490066225,0.04032258064516129,0.08131868131868132,0.08998875140607424,0.21469859620148637,0.21469859620148637,0.21445978878960195,0.21469859620148637,0.25245901639344265,0.16184112843355605,0.15372790161414296,0.21299638989169675,0.1090146750524109,0.2401500938086304,0.21895424836601307,0.12521440823327615,0.1,0.1488469601677149,0.18515901060070672,0.1379857256145916
Communication B.A.,0.1628222523744912,0.16455696202531644,0.1708542713567839,0.2011457670273711,0.1729518855656697,0.14180024660912455,0.1665264928511354,0.15746753246753248,0.12989921612541994,0.11141060197663971,0.10430839002267574,0.11066398390342053,0.08020698576972833,0.09172259507829977,0.08083832335329341,0.10624417520969245,0.1223529411764706,0.12285012285012285,0.11981566820276497,0.13398294762484775,0.12792127921279212,0.16216216216216217,0.234375,0.07464607464607464,0.07627118644067797,0.16991643454038996,0.1590909090909091,0.18092428711897737,1.0,0.084472049689441,0.2,0.2046303211351755,0.15780141843971632,0.1509433962264151,0.13055181695827725,0.14211438474870017,0.188951160928743,0.16477272727272727,0.0974949221394719,0.15944758317639673,0.2134387351778656,0.1626848691695108,0.16341030195381884,0.17373175816539263,0.2209178228388474,0.09939759036144578,0.15763546798029557,0.11634904714142427,0.11335254562920269,0.11211211211211211,0.12921348314606743,0.12020725388601036,0.13111726685133887,0.12824675324675325,0.118,0.1327188940092166,0.08478802992518704,0.17497648165569143,0.09760132340777503,0.08986175115207373,0.19217081850533807,0.17352281226626776,0.14537755822159493,0.12886259040105194,0.10947368421052632,0.2158273381294964,0.2327909887359199,0.18461538461538463,0.19963031423290203,0.2079646017699115,0.19878296146044624,0.18266542404473438,0.1982840800762631,0.20546448087431693,0.2020618556701031,0.19144144144144143,0.19669117647058823,0.1419141914191419,0.17412140575079874,0.1881720430107527,0.20767888307155322,0.17825020441537204,0.12191358024691358,0.10419681620839363,0.10687022900763359,0.10740203193033382,0.09305289993626514,0.10382978723404256,0.1509433962264151,0.2045060658578856,0.0907840440165062,0.11487481590574374,0.058027079303675046,0.09663250366032211,0.10574018126888217,0.23983739837398374,0.23983739837398374,0.2410358565737052,0.23983739837398374,0.18731117824773413,0.13035714285714287,0.1303538175046555,0.20658342792281498,0.13480055020632736,0.16686531585220502,0.1765295887662989,0.08945686900958466,0.11832611832611832,0.1485557083906465,0.15151515151515152,0.1102514506769826
Computer Science B.S.,0.12894560107454667,0.1697981906750174,0.12241521918941274,0.10592686002522068,0.11204121056020605,0.1649358582773366,0.11461794019933555,0.11708099438652766,0.12555066079295155,0.15425531914893617,0.16499442586399107,0.14271555996035679,0.1446700507614213,0.14301430143014301,0.15519765739385066,0.13419117647058823,0.19653179190751446,0.195416164053076,0.19932049830124576,0.17942583732057416,0.18840579710144928,0.10661764705882353,0.18841698841698842,0.13383838383838384,0.11618257261410789,0.054570259208731244,0.04728789986091794,0.10465116279069768,0.084472049689441,1.0,0.17040358744394618,0.0620384047267356,0.08923884514435695,0.27729257641921395,0.2744836775483011,0.16082121471343028,0.07278481012658228,0.0584144645340751,0.14343163538873996,0.13557213930348258,0.17721518987341772,0.12746756909193457,0.13497652582159625,0.18844566712517194,0.1323451561672843,0.09131075110456553,0.11841038118410381,0.17786561264822134,0.16856060606060605,0.17357001972386588,0.20498614958448755,0.23061224489795917,0.2040072859744991,0.1908580593424218,0.20689655172413793,0.2018181818181818,0.06854345165238677,0.15213358070500926,0.19607843137254902,0.20838052095130238,0.2563380281690141,0.26479289940828404,0.0670391061452514,0.0703125,0.04081632653061224,0.0989399293286219,0.10319410319410319,0.09821428571428571,0.07657247037374658,0.0957562568008705,0.07392607392607392,0.08088235294117647,0.07518796992481203,0.12258064516129032,0.1218274111675127,0.10188261351052048,0.1958295557570263,0.08373590982286634,0.12312549329123915,0.11140583554376658,0.1223083548664944,0.12762520193861066,0.14187643020594964,0.23796033994334279,0.1658291457286432,0.07753050969131371,0.06186868686868687,0.06050420168067227,0.09170305676855896,0.06418918918918919,0.16442048517520216,0.07492795389048991,0.10526315789473684,0.14613180515759314,0.15952732644017725,0.0940940940940941,0.0940940940940941,0.09421000981354269,0.0940940940940941,0.1527777777777778,0.1303964757709251,0.12304866850321396,0.09821428571428571,0.05390835579514825,0.20140515222482436,0.17588932806324112,0.6289308176100629,0.062146892655367235,0.1320754716981132,0.1662510390689942,0.14871306005719734
Criminology And Justice Studies B.A.,0.265695067264574,0.31062355658198615,0.2752659574468085,0.26687931951089844,0.3106060606060606,0.2515527950310559,0.1761174116077385,0.1608300907911803,0.142975893599335,0.1433591004919185,0.15604026845637584,0.13957055214723926,0.12003693444136658,0.14119601328903655,0.11247443762781185,0.1561822125813449,0.19827586206896552,0.17793594306049823,0.1731748726655348,0.18037135278514588,0.1834372217275156,0.3051337671728127,0.5710691823899371,0.09567617295308188,0.09430255402750491,0.18482490272373542,0.16962524654832348,0.22758100979653353,0.2,0.17040358744394618,1.0,0.32140691328077625,0.17385257301808066,0.16184971098265896,0.21269487750556793,0.21174863387978143,0.18345093008338678,0.14792899408284024,0.1365416899832121,0.2490803993694167,0.24659606656580937,0.22437137330754353,0.24612306153076538,0.22184105202973128,0.29395604395604397,0.12114989733059549,0.15968586387434555,0.14690130068859986,0.14507772020725387,0.14514896867838045,0.24818577648766327,0.23372549019607844,0.24838478104809764,0.24124513618677043,0.2381679389312977,0.3111111111111111,0.10071942446043165,0.19810633648943918,0.18828176431863067,0.200339558573854,0.24489795918367346,0.25136612021857924,0.20961204400694847,0.21736755871108684,0.05605095541401274,0.2465034965034965,0.24706943192064923,0.22897526501766785,0.21982758620689655,0.24052718286655683,0.1574074074074074,0.1561822125813449,0.16335540838852097,0.18122448979591838,0.190625,0.16193656093489148,0.25894134477825465,0.1331877729257642,0.23943661971830985,0.24403927068723702,0.2857142857142857,0.21787345075016307,0.1519302615193026,0.11988011988011989,0.1155137676292814,0.11729857819905214,0.09473124002128792,0.10774410774410774,0.2989265070189926,0.1488162344983089,0.12343297974927676,0.1435793731041456,0.036275695284159616,0.07452165156092648,0.0823045267489712,0.3323029366306028,0.3323029366306028,0.3546423135464231,0.3323029366306028,0.22409823484267075,0.2,0.20953757225433525,0.1964735516372796,0.1523625843780135,0.2906875543951262,0.4912012241775057,0.15372297838270615,0.1036889332003988,0.14657666345226616,0.22963951935914553,0.1488095238095238
Critical Race Gender And Sexuality Studies B.A.,0.2392486406327237,0.24556062912227294,0.25243832472748134,0.30377358490566037,0.2788691902252036,0.1685859051128512,0.1760644418872267,0.17069062324536777,0.1553398058252427,0.10469314079422383,0.0992313067784766,0.11276733635774465,0.09379727685325265,0.09286209286209286,0.0838126540673788,0.12083847102342787,0.11722659042172981,0.11005135730007337,0.11573747353563868,0.10948905109489052,0.1262848751835536,0.17139334155363747,0.30727173318753415,0.04675716440422323,0.04295942720763723,0.15785319652722968,0.14684756584197925,0.18007662835249041,0.2046303211351755,0.0620384047267356,0.32140691328077625,1.0,0.22540250447227192,0.1006896551724138,0.14250614250614252,0.13857897827363477,0.3437152391546162,0.20271348762968874,0.09970384995064166,0.17366946778711484,0.16784112748238308,0.18292154312960554,0.17962466487935658,0.17404426559356137,0.28559636813867106,0.08738664468260511,0.16864742501414828,0.10866752910737387,0.10943396226415095,0.1124031007751938,0.12368583797155226,0.11492734478203434,0.12377450980392157,0.1403705783267827,0.11362169141381537,0.1481028151774786,0.15247964470762398,0.17493796526054592,0.09670079635949944,0.0903316866619619,0.17707267144319344,0.19936373276776245,0.237029501525941,0.2463768115942029,0.046875,0.2299349240780911,0.23738872403560832,0.2672309552599758,0.2857142857142857,0.25326909841706813,0.1472312703583062,0.15166461159062886,0.15644555694618273,0.14617486338797814,0.17774851876234365,0.13778705636743216,0.16127061698228468,0.08658008658008658,0.23431426985008327,0.23423423423423423,0.26194690265486725,0.2054176072234763,0.12357723577235773,0.05806451612903226,0.09259259259259259,0.131811105345096,0.11614730878186968,0.1148491879350348,0.1889655172413793,0.11545293072824156,0.05329153605015674,0.13029315960912052,0.02626641651031895,0.05357142857142857,0.054500412881915775,0.2583170254403131,0.2583170254403131,0.27945911139729557,0.2583170254403131,0.21660181582360571,0.12582384661473936,0.13185459026494148,0.14125874125874127,0.16927899686520376,0.19020172910662825,0.23285899094437257,0.07526881720430108,0.12399355877616747,0.11442006269592477,0.1577432354634427,0.11749842072015161
Dance B.A.,0.19315673289183222,0.19090909090909092,0.20234986945169714,0.2001047668936616,0.19722814498933902,0.15,0.20956123117223313,0.21273885350318472,0.17871649065800163,0.12267401791867677,0.11147540983606558,0.1066066066066066,0.09540954095409541,0.11201298701298701,0.0874751491053678,0.11339475549255847,0.1127946127946128,0.11458333333333333,0.11608623548922056,0.11906816220880069,0.11468288444830582,0.16158752657689582,0.1792336217552534,0.07713004484304933,0.0745697896749522,0.1856060606060606,0.18234165067178504,0.2051660516605166,0.15780141843971632,0.08923884514435695,0.17385257301808066,0.22540250447227192,1.0,0.11299435028248588,0.13486842105263158,0.12734584450402145,0.17391304347826086,0.1324376199616123,0.11239669421487604,0.15225271879854999,0.13925925925925925,0.17748091603053434,0.14898865318204244,0.148564997186269,0.1962025316455696,0.1157684630738523,0.21722365038560412,0.10337078651685393,0.10442349528643945,0.10022438294689603,0.112375533428165,0.11665387567152724,0.12104152005629838,0.12229299363057325,0.11061285500747384,0.15038650737877723,0.08596491228070176,0.17273376159885795,0.12152553329023917,0.0945273631840796,0.17096959265633965,0.1635820895522388,0.17094017094017094,0.17213555675094136,0.05412054120541206,0.17064846416382254,0.16534740545294635,0.17463617463617465,0.21267605633802816,0.18035426731078905,0.1646525679758308,0.1686746987951807,0.1658255227108868,0.17717478052673583,0.17889908256880735,0.19249592169657423,0.18373071528751753,0.07627118644067797,0.24779874213836478,0.2530949105914718,0.25471698113207547,0.24855861627162076,0.1175030599755202,0.08746355685131195,0.0975609756097561,0.2261072261072261,0.1761929732564237,0.21546596166556511,0.19854721549636803,0.09180327868852459,0.0863849765258216,0.1160275319567355,0.03274853801169591,0.0842311459353575,0.086,0.1588502269288956,0.1588502269288956,0.15648286140089418,0.1588502269288956,0.17731029301277235,0.11385459533607682,0.13031161473087818,0.17391304347826086,0.15023474178403756,0.14953271028037382,0.17228464419475656,0.1096319498825372,0.12027158098933075,0.29295774647887324,0.13368283093053734,0.1151603498542274
Data Science B.S.,0.15520504731861198,0.18656229615133724,0.1425287356321839,0.13198573127229488,0.14311704063068525,0.21696480092325446,0.12153846153846154,0.12062546537602382,0.099601593625498,0.20588235294117646,0.19939577039274925,0.25882352941176473,0.2081447963800905,0.22487562189054727,0.17715019255455713,0.19763513513513514,0.19771071800208118,0.20324324324324325,0.2083758937691522,0.18669527896995708,0.19913419913419914,0.14358108108108109,0.2070452911574407,0.15090090090090091,0.14896214896214896,0.09650180940892641,0.09325153374233129,0.14716312056737588,0.1509433962264151,0.27729257641921395,0.16184971098265896,0.1006896551724138,0.11299435028248588,1.0,0.4596117720726362,0.2466403162055336,0.12794117647058822,0.09570552147239264,0.2141057934508816,0.23708920187793428,0.2404274265360641,0.19047619047619047,0.22555555555555556,0.28258064516129033,0.16926952141057935,0.09290322580645162,0.12189616252821671,0.31227436823104693,0.3020833333333333,0.3117117117117117,0.19168787107718405,0.20631970260223048,0.18760469011725292,0.20848845867460908,0.1782178217821782,0.17892976588628762,0.0700985761226725,0.18739352640545145,0.24242424242424243,0.20633299284984677,0.3232189973614776,0.3149171270718232,0.09031413612565445,0.09558823529411764,0.06143344709897611,0.1164021164021164,0.11648351648351649,0.11348684210526316,0.10058675607711651,0.11428571428571428,0.11121239744758432,0.11486486486486487,0.10862068965517241,0.14035087719298245,0.14801110083256244,0.14614614614614616,0.19349457881567975,0.10320781032078104,0.1438004402054292,0.14180929095354522,0.14160700079554495,0.13793103448275862,0.2970859985785359,0.41895261845386533,0.24496124031007752,0.0819341840161182,0.07142857142857142,0.07309486780715396,0.11067193675889328,0.06395348837209303,0.18854415274463007,0.08354430379746836,0.15605095541401273,0.20654911838790932,0.21216041397153945,0.1132420091324201,0.1132420091324201,0.11300448430493273,0.1132420091324201,0.22282608695652173,0.16734362307067424,0.1670886075949367,0.11088709677419355,0.07159904534606205,0.17894736842105263,0.148014440433213,0.4076190476190476,0.06716417910447761,0.12410501193317422,0.23710546574287913,0.18340611353711792
Economics B.A.,0.25161290322580643,0.23701605288007555,0.19470899470899472,0.1905602117335686,0.22470904207699194,0.3002588438308887,0.16976127320954906,0.17012448132780084,0.13467589679043424,0.208955223880597,0.15716096324461343,0.19644970414201182,0.1524846834581348,0.1861635220125786,0.12903225806451613,0.2035048049745619,0.276843467011643,0.3456953642384106,0.30562659846547313,0.2794990112063283,0.2597746852220013,0.22724703222159412,0.3016194331983806,0.14392396469789545,0.1396011396011396,0.11315417256011315,0.10428571428571429,0.1646234676007005,0.13055181695827725,0.2744836775483011,0.21269487750556793,0.14250614250614252,0.13486842105263158,0.4596117720726362,1.0,0.2637837837837838,0.1686375321336761,0.08428571428571428,0.2733548090197883,0.31542158147662736,0.29859484777517564,0.26813365933170336,0.3211740041928721,0.4131147540983607,0.3167315175097276,0.08235294117647059,0.16823406478578892,0.28115770821027763,0.2740356937248129,0.27728613569321536,0.282312925170068,0.2950030102347983,0.297920179876335,0.32468879668049794,0.2759433962264151,0.2841100505334082,0.07076101468624833,0.27743035815804434,0.2656167979002625,0.20332480818414322,0.44550214183722037,0.4485981308411215,0.15996213913866542,0.17771763644564728,0.035866780529461996,0.2,0.21003344481605352,0.19877845641310382,0.19010123734533182,0.19625,0.1248513674197384,0.13227812323346524,0.12836676217765042,0.14649286157666047,0.148859543817527,0.1452020202020202,0.21300448430493274,0.0890937019969278,0.18993839835728954,0.18653421633554085,0.1737242128121607,0.1719645648775404,0.2991967871485944,0.27108868060562363,0.2773333333333333,0.10318225650916105,0.09624724061810154,0.08872260823089258,0.12147777082028804,0.08955223880597014,0.16303583977512298,0.07854545454545454,0.11211871393239901,0.17258883248730963,0.17673048600883653,0.16071428571428573,0.16071428571428573,0.16117647058823528,0.16071428571428573,0.22735346358792186,0.24559471365638766,0.2327683615819209,0.1306277742549144,0.08151791988756149,0.196742671009772,0.20082693443591257,0.2984709480122324,0.06911447084233262,0.10962754743499649,0.28662420382165604,0.1745664739884393
